Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
BNSO,"Bonso Electronics International, Inc.",2.24,11545925.44,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bnso
BPFH,"Boston Private Financial Holdings, Inc.",16.45,1367444990,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpfh
BPFHP,"Boston Private Financial Holdings, Inc.",25.4528,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpfhp
BPFHW,"Boston Private Financial Holdings, Inc.",10.35,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpfhw
EPAY,"Bottomline Technologies, Inc.",25.48,1032704222,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/epay
BLVD,Boulevard Acquisition Corp. II,9.91,458337500,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/blvd
BLVDU,Boulevard Acquisition Corp. II,10.3,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/blvdu
BLVDW,Boulevard Acquisition Corp. II,0.53,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/blvdw
BOXL,Boxlight Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/boxl
BCLI,Brainstorm Cell Therapeutics Inc.,2.53,47280607.11,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcli
BBRG,"Bravo Brio Restaurant Group, Inc.",3.9,57431419.5,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bbrg
BDGE,"Bridge Bancorp, Inc.",37.1,708417080,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bdge
BLIN          ,"Bridgeline Digital, Inc.",0.671,13945894.24,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/blin
BRID,Bridgford Foods Corporation,11.09,100662066.9,n/a,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/brid
BCOV,Brightcove Inc.,8.1,273648893.4,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/bcov
AVGO,Broadcom Limited,176.59,70455947423,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/avgo
BSFT,"BroadSoft, Inc.",41.65,1255476900,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bsft
BVSN,"BroadVision, Inc.",4.95,24495015.6,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/bvsn
BYFC,Broadway Financial Corporation,1.6452,44915167.58,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/byfc
BWEN,"Broadwind Energy, Inc.",4.09,62054482.05,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/bwen
BRCD,"Brocade Communications Systems, Inc.",12.5,5078159863,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/brcd
BRKL,"Brookline Bancorp, Inc.",16.4,1156741118,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/brkl
BRKS,"Brooks Automation, Inc.",16.86,1172125881,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/brks
BRKR,Bruker Corporation,22.04,3535293669,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/brkr
BMTC,Bryn Mawr Bank Corporation,41.25,697672305,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bmtc
